met type,date,mean/sum,min,max,%complete,comments
Precipitation,26/03/2010,1,,,100,
Precipitation,27/03/2010,0.8,,,100,
Precipitation,28/03/2010,6.4,,,100,
Precipitation,29/03/2010,12.8,,,100,
Precipitation,30/03/2010,6.6,,,100,
Precipitation,31/03/2010,4,,,100,
Precipitation,01/04/2010,0,,,100,
Precipitation,02/04/2010,11,,,100,
Precipitation,03/04/2010,8.6,,,100,
Precipitation,04/04/2010,2.6,,,100,
Precipitation,05/04/2010,0.2,,,100,
Precipitation,06/04/2010,0,,,100,
Precipitation,07/04/2010,0,,,100,
Precipitation,08/04/2010,0,,,100,
Precipitation,09/04/2010,0,,,100,
Precipitation,10/04/2010,0,,,100,
Precipitation,11/04/2010,0,,,100,
Precipitation,12/04/2010,0,,,100,
Precipitation,13/04/2010,0,,,100,
Precipitation,14/04/2010,0,,,100,
Precipitation,15/04/2010,0,,,100,
Precipitation,16/04/2010,0,,,100,
Precipitation,17/04/2010,0.2,,,100,
Precipitation,18/04/2010,0,,,100,
Precipitation,19/04/2010,0,,,100,
Precipitation,20/04/2010,0,,,100,
Precipitation,21/04/2010,0,,,100,
Precipitation,22/04/2010,0,,,100,
Precipitation,23/04/2010,0,,,100,
Precipitation,24/04/2010,0,,,100,
Precipitation,25/04/2010,1.2,,,100,
Precipitation,26/04/2010,0.2,,,100,
Precipitation,27/04/2010,0,,,100,
Precipitation,28/04/2010,0,,,100,
Precipitation,29/04/2010,0.2,,,100,
Precipitation,30/04/2010,0.2,,,100,
Precipitation,01/05/2010,0.4,,,100,
Precipitation,02/05/2010,4,,,100,
Precipitation,03/05/2010,0.2,,,100,
Precipitation,04/05/2010,0,,,100,
Precipitation,05/05/2010,0,,,100,
Precipitation,06/05/2010,0,,,100,
Precipitation,07/05/2010,0,,,100,
Precipitation,08/05/2010,0.6,,,100,
Precipitation,09/05/2010,0,,,100,
Precipitation,10/05/2010,0,,,100,
Precipitation,11/05/2010,0,,,100,
Precipitation,12/05/2010,0.2,,,100,
Precipitation,13/05/2010,0,,,100,
Precipitation,14/05/2010,0,,,100,
Precipitation,15/05/2010,0,,,100,
Precipitation,16/05/2010,0.4,,,100,
Precipitation,17/05/2010,0,,,100,
Precipitation,18/05/2010,0,,,100,
Precipitation,19/05/2010,0.2,,,100,
Precipitation,20/05/2010,0,,,100,
Precipitation,21/05/2010,0,,,100,
Precipitation,22/05/2010,0,,,100,
Precipitation,23/05/2010,0,,,100,
Precipitation,24/05/2010,0,,,100,
Precipitation,25/05/2010,0,,,100,
Precipitation,26/05/2010,0.6,,,100,
Precipitation,27/05/2010,2.8,,,100,
Precipitation,28/05/2010,0,,,100,
Precipitation,29/05/2010,8.4,,,100,
Precipitation,30/05/2010,0,,,100,
Precipitation,31/05/2010,0,,,100,
Precipitation,01/06/2010,2.2,,,100,
Precipitation,02/06/2010,0,,,100,
Precipitation,03/06/2010,0,,,100,
Precipitation,04/06/2010,0,,,100,
Precipitation,05/06/2010,0,,,100,
Precipitation,06/06/2010,0,,,100,
Precipitation,07/06/2010,4.6,,,100,
Precipitation,08/06/2010,5.8,,,100,
Precipitation,09/06/2010,0,,,100,
Precipitation,10/06/2010,3,,,100,
Precipitation,11/06/2010,0.8,,,100,
Precipitation,12/06/2010,0,,,100,
Precipitation,13/06/2010,0,,,100,
Precipitation,14/06/2010,3.8,,,100,
Precipitation,15/06/2010,0.2,,,100,
Precipitation,16/06/2010,0,,,100,
Precipitation,17/06/2010,0,,,100,
Precipitation,18/06/2010,2.4,,,100,
Precipitation,19/06/2010,0.4,,,100,
Precipitation,20/06/2010,0,,,100,
Precipitation,21/06/2010,0,,,100,
Precipitation,22/06/2010,0,,,100,
Precipitation,23/06/2010,0,,,100,
Precipitation,24/06/2010,0,,,100,
Precipitation,25/06/2010,0,,,100,
Precipitation,26/06/2010,0,,,100,
Precipitation,27/06/2010,0,,,100,
Precipitation,28/06/2010,0,,,100,
Precipitation,29/06/2010,0,,,100,
Precipitation,30/06/2010,0.2,,,100,
Precipitation,01/07/2010,0,,,100,
Precipitation,02/07/2010,0,,,100,
Precipitation,03/07/2010,0,,,100,
Precipitation,04/07/2010,0,,,100,
Precipitation,05/07/2010,0,,,100,
Precipitation,06/07/2010,0,,,100,
Precipitation,07/07/2010,0,,,100,
Precipitation,08/07/2010,0,,,100,
Precipitation,09/07/2010,0,,,100,
Precipitation,10/07/2010,0,,,100,
Precipitation,11/07/2010,0.2,,,100,
Precipitation,12/07/2010,0.8,,,100,
Precipitation,13/07/2010,4.8,,,100,
Precipitation,14/07/2010,5.8,,,100,
Precipitation,15/07/2010,8.8,,,100,
Precipitation,16/07/2010,4.4,,,100,
Precipitation,17/07/2010,0,,,100,
Precipitation,18/07/2010,0,,,100,
Precipitation,19/07/2010,0,,,100,
Precipitation,20/07/2010,0.2,,,100,
Precipitation,21/07/2010,0.6,,,100,
Precipitation,22/07/2010,4.8,,,100,
Precipitation,23/07/2010,0,,,100,
Precipitation,24/07/2010,0.2,,,100,
Precipitation,25/07/2010,0,,,100,
Precipitation,26/07/2010,0.4,,,100,
Precipitation,27/07/2010,0,,,100,
Precipitation,28/07/2010,0.2,,,100,
Precipitation,29/07/2010,0,,,100,
Precipitation,30/07/2010,0,,,100,
Precipitation,31/07/2010,0.4,,,100,
Precipitation,01/08/2010,0,,,100,
Precipitation,02/08/2010,0,,,100,
Precipitation,03/08/2010,0,,,100,
Precipitation,04/08/2010,9.2,,,100,
Precipitation,05/08/2010,0,,,100,
Precipitation,06/08/2010,1.2,,,100,
Precipitation,07/08/2010,3,,,100,
Precipitation,08/08/2010,0,,,100,
Precipitation,09/08/2010,0,,,100,
Precipitation,10/08/2010,13.4,,,100,
Precipitation,11/08/2010,0.2,,,100,
Precipitation,12/08/2010,0.4,,,100,
Precipitation,13/08/2010,9.6,,,100,
Precipitation,14/08/2010,0,,,100,
Precipitation,15/08/2010,0.2,,,100,
Precipitation,16/08/2010,0,,,100,
Precipitation,17/08/2010,1.2,,,100,
Precipitation,18/08/2010,0.6,,,100,
Precipitation,19/08/2010,0.4,,,100,
Precipitation,20/08/2010,1.8,,,100,
Precipitation,21/08/2010,4,,,100,
Precipitation,22/08/2010,6.2,,,100,
Precipitation,23/08/2010,45,,,100,
Precipitation,24/08/2010,0.2,,,100,
Precipitation,25/08/2010,35.4,,,100,
Precipitation,26/08/2010,5.2,,,100,
Precipitation,27/08/2010,5.2,,,100,
Precipitation,28/08/2010,0,,,100,
Precipitation,29/08/2010,0.6,,,100,
Precipitation,30/08/2010,0,,,100,
Precipitation,31/08/2010,0.2,,,100,
Precipitation,01/09/2010,0.2,,,100,
Precipitation,02/09/2010,0,,,100,
Precipitation,03/09/2010,0,,,100,
Precipitation,04/09/2010,0.2,,,100,
Precipitation,05/09/2010,0.6,,,100,
Precipitation,06/09/2010,12.8,,,100,
Precipitation,07/09/2010,3.2,,,100,
Precipitation,08/09/2010,10.8,,,100,
Precipitation,09/09/2010,0,,,100,
Precipitation,10/09/2010,0.2,,,100,
Precipitation,11/09/2010,0.4,,,100,
Precipitation,12/09/2010,0.2,,,100,
Precipitation,13/09/2010,0.2,,,100,
Precipitation,14/09/2010,2.6,,,100,
Precipitation,15/09/2010,0.2,,,100,
Precipitation,16/09/2010,0,,,100,
Precipitation,17/09/2010,0,,,100,
Precipitation,18/09/2010,0,,,100,
Precipitation,19/09/2010,0,,,100,
Precipitation,20/09/2010,0,,,100,
Precipitation,21/09/2010,0.2,,,100,
Precipitation,22/09/2010,0.2,,,100,
Precipitation,23/09/2010,21.2,,,100,
Precipitation,24/09/2010,1.2,,,100,
Precipitation,25/09/2010,0,,,100,
Precipitation,26/09/2010,0.6,,,100,
Precipitation,27/09/2010,0.2,,,100,
Precipitation,28/09/2010,0.8,,,100,
Precipitation,29/09/2010,8.2,,,100,
Precipitation,30/09/2010,0.4,,,100,
Precipitation,01/10/2010,37.4,,,100,
Precipitation,02/10/2010,42.8,,,100,
Precipitation,03/10/2010,7.6,,,100,
Precipitation,04/10/2010,2.8,,,100,
Precipitation,05/10/2010,2.2,,,100,
Precipitation,06/10/2010,9.4,,,100,
Precipitation,07/10/2010,0.2,,,100,
Precipitation,08/10/2010,0,,,100,
Precipitation,09/10/2010,0,,,100,
Precipitation,10/10/2010,0,,,100,
Precipitation,11/10/2010,0.2,,,100,
Precipitation,12/10/2010,0,,,100,
Precipitation,13/10/2010,0,,,100,
Precipitation,14/10/2010,0,,,100,
Precipitation,15/10/2010,0.4,,,100,
Precipitation,16/10/2010,0.8,,,100,
Precipitation,17/10/2010,0,,,100,
Precipitation,18/10/2010,0.2,,,100,
Precipitation,19/10/2010,2.8,,,100,
Precipitation,20/10/2010,0.2,,,100,
Precipitation,21/10/2010,0,,,100,
Precipitation,22/10/2010,0,,,100,
Precipitation,23/10/2010,14.4,,,100,
Precipitation,24/10/2010,0.2,,,100,
Precipitation,25/10/2010,0.2,,,100,
Precipitation,26/10/2010,0.2,,,38,
Precipitation,27/10/2010,,,,0,
Precipitation,28/10/2010,,,,0,
Precipitation,29/10/2010,,,,0,
Precipitation,30/10/2010,,,,0,
Precipitation,31/10/2010,,,,0,
Precipitation,01/11/2010,,,,0,
Precipitation,02/11/2010,,,,0,
Precipitation,03/11/2010,0,,,33,
Precipitation,04/11/2010,0,,,100,
Precipitation,05/11/2010,1,,,100,
Precipitation,06/11/2010,2.8,,,100,
Precipitation,07/11/2010,1.8,,,100,
Precipitation,08/11/2010,21.8,,,100,
Precipitation,09/11/2010,26.4,,,100,
Precipitation,10/11/2010,0,,,100,
Precipitation,11/11/2010,19.6,,,100,
Precipitation,12/11/2010,16.4,,,100,
Precipitation,13/11/2010,2.2,,,100,
Precipitation,14/11/2010,3.4,,,100,
Precipitation,15/11/2010,0.2,,,100,
Precipitation,16/11/2010,0.2,,,100,
Precipitation,17/11/2010,4.6,,,100,
Precipitation,18/11/2010,8.4,,,100,
Precipitation,19/11/2010,0.6,,,100,
Precipitation,20/11/2010,0.6,,,100,
Precipitation,21/11/2010,0,,,100,
Precipitation,22/11/2010,0,,,100,
Precipitation,23/11/2010,0,,,100,
Precipitation,24/11/2010,0,,,100,
Precipitation,25/11/2010,0.2,,,100,
Precipitation,26/11/2010,0,,,100,
Precipitation,27/11/2010,0,,,100,
Precipitation,28/11/2010,0,,,100,
Precipitation,29/11/2010,0,,,100,
Precipitation,30/11/2010,0.6,,,100,
Precipitation,01/12/2010,0,,,100,
Precipitation,02/12/2010,0,,,100,
Precipitation,03/12/2010,0,,,100,
Precipitation,04/12/2010,25.4,,,100,
Precipitation,05/12/2010,0.2,,,100,
Precipitation,06/12/2010,0,,,100,
Precipitation,07/12/2010,0.2,,,100,
Precipitation,08/12/2010,0,,,100,
Precipitation,09/12/2010,0,,,100,
Precipitation,10/12/2010,0,,,100,
Precipitation,11/12/2010,0,,,100,
Precipitation,12/12/2010,0.2,,,100,
Precipitation,13/12/2010,0.2,,,100,
Precipitation,14/12/2010,0.8,,,100,
Precipitation,15/12/2010,0.4,,,100,
Precipitation,16/12/2010,2.6,,,100,
Precipitation,17/12/2010,0,,,100,
Precipitation,18/12/2010,0,,,100,
Precipitation,19/12/2010,0,,,100,
Precipitation,20/12/2010,0,,,100,
Precipitation,21/12/2010,1.4,,,100,
Precipitation,22/12/2010,0,,,100,
Precipitation,23/12/2010,0,,,100,
Precipitation,24/12/2010,0,,,100,
Precipitation,25/12/2010,0,,,100,
Precipitation,26/12/2010,0.4,,,100,
Precipitation,27/12/2010,8.4,,,100,
Precipitation,28/12/2010,6.4,,,100,
Precipitation,29/12/2010,1,,,100,
Precipitation,30/12/2010,0.2,,,100,
Precipitation,31/12/2010,0,,,100,
Relative Humidity,01/01/2010,83.48,70.81,89.7,100,
Relative Humidity,02/01/2010,86.5,67.53,96,100,
Relative Humidity,03/01/2010,86.91,66.87,97.08,100,
Relative Humidity,04/01/2010,90.7,72.55,96.2,100,
Relative Humidity,05/01/2010,88.52,74.24,98.97,100,
Relative Humidity,06/01/2010,98.57,89.96,100,100,
Relative Humidity,07/01/2010,89.06,79.87,95.18,100,
Relative Humidity,08/01/2010,95.65,90.83,98.36,100,
Relative Humidity,09/01/2010,89.35,77,96.72,100,
Relative Humidity,10/01/2010,93.92,87.4,99.43,100,
Relative Humidity,11/01/2010,92.52,82.84,99.48,100,
Relative Humidity,12/01/2010,92.28,87.04,95.18,100,
Relative Humidity,13/01/2010,99.64,94.98,100,100,
Relative Humidity,14/01/2010,100,100,100,100,
Relative Humidity,15/01/2010,100,100,100,100,
Relative Humidity,16/01/2010,100,100,100,100,
Relative Humidity,17/01/2010,90.48,72.45,100,100,
Relative Humidity,18/01/2010,99.87,97.02,100,100,
Relative Humidity,19/01/2010,96.78,79.41,100,100,
Relative Humidity,20/01/2010,98.23,92.62,100,100,
Relative Humidity,21/01/2010,94.46,81.46,100,100,
Relative Humidity,22/01/2010,99.97,98.82,100,97,
Relative Humidity,23/01/2010,94.88,84.07,100,100,
Relative Humidity,24/01/2010,85.46,70.55,95.85,100,
Relative Humidity,25/01/2010,90.51,79.51,98.15,100,
Relative Humidity,26/01/2010,82.22,68.25,95.8,100,
Relative Humidity,27/01/2010,86.6,61.7,98.82,100,
Relative Humidity,28/01/2010,82.66,70.04,91.55,100,
Relative Humidity,29/01/2010,88.57,68.51,100,100,
Relative Humidity,30/01/2010,73.96,64.46,84.68,100,
Relative Humidity,31/01/2010,80.42,70.86,93.44,100,
Relative Humidity,01/02/2010,82.01,61.8,92.36,100,
Relative Humidity,02/02/2010,93.55,82.64,98.56,100,
Relative Humidity,03/02/2010,98.21,91.65,100,100,
Relative Humidity,04/02/2010,94.71,81.15,100,100,
Relative Humidity,05/02/2010,91.78,74.24,100,100,
Relative Humidity,06/02/2010,95.16,84.63,98.97,100,
Relative Humidity,07/02/2010,94.71,81.77,100,100,
Relative Humidity,08/02/2010,90.61,83.61,97.08,100,
Relative Humidity,09/02/2010,78.48,66,88.99,100,
Relative Humidity,10/02/2010,75.18,49.72,91.19,100,
Relative Humidity,11/02/2010,69.52,46.49,85.91,100,
Relative Humidity,12/02/2010,91.62,77.26,98.66,100,
Relative Humidity,13/02/2010,76.85,57.65,90.42,100,
Relative Humidity,14/02/2010,93.23,81.87,97.43,100,
Relative Humidity,15/02/2010,97.47,86.94,100,100,
Relative Humidity,16/02/2010,99.23,97.33,100,100,
Relative Humidity,17/02/2010,86.94,58.88,99.99,100,
Relative Humidity,18/02/2010,98.46,92.26,100,100,
Relative Humidity,19/02/2010,84.41,57.6,99.43,100,
Relative Humidity,20/02/2010,86.48,63.08,97.95,100,
Relative Humidity,21/02/2010,98.5,93.13,100,100,
Relative Humidity,22/02/2010,99.14,94.82,100,100,
Relative Humidity,23/02/2010,96.6,87.6,100,100,
Relative Humidity,24/02/2010,98.31,84.38,100,100,
Relative Humidity,25/02/2010,99.74,98.66,100,100,
Relative Humidity,26/02/2010,81.03,48.03,100,100,
Relative Humidity,27/02/2010,95.78,86.48,100,100,
Relative Humidity,28/02/2010,93,83.61,100,100,
Relative Humidity,01/03/2010,78.87,47,97.48,100,
Relative Humidity,02/03/2010,70.62,41.68,89.96,100,
Relative Humidity,03/03/2010,72.12,43.93,92.47,100,
Relative Humidity,04/03/2010,68.96,48.69,87.65,100,
Relative Humidity,05/03/2010,68.77,45.62,90.73,100,
Relative Humidity,06/03/2010,74.2,44.6,94.92,100,
Relative Humidity,07/03/2010,60.36,38.09,77.62,100,
Relative Humidity,08/03/2010,69.83,41.11,87.3,100,
Relative Humidity,09/03/2010,75.06,58.16,88.42,100,
Relative Humidity,10/03/2010,72.01,56.73,83,100,
Relative Humidity,11/03/2010,69.16,50.38,82.33,100,
Relative Humidity,12/03/2010,79.98,67.94,94.21,100,
Relative Humidity,13/03/2010,77.96,58.21,94.82,100,
Relative Humidity,14/03/2010,62.42,40.76,85.04,100,
Relative Humidity,15/03/2010,64.73,45.82,87.81,100,
Relative Humidity,16/03/2010,67.42,43.21,93.13,100,
Relative Humidity,17/03/2010,86.89,63.54,100,100,
Relative Humidity,18/03/2010,80.24,46.28,100,100,
Relative Humidity,19/03/2010,100,100,100,100,
Relative Humidity,20/03/2010,100,100,100,100,
Relative Humidity,21/03/2010,86.42,57.14,100,100,
Relative Humidity,22/03/2010,93.22,73.78,100,100,
Relative Humidity,23/03/2010,97.66,84.63,100,100,
Relative Humidity,24/03/2010,88.8,64.51,100,100,
Relative Humidity,25/03/2010,97.06,88.73,100,100,
Relative Humidity,26/03/2010,87.81,74.44,95.23,100,
Relative Humidity,27/03/2010,83.61,59.49,98.41,100,
Relative Humidity,28/03/2010,87.06,59.9,100,100,
Relative Humidity,29/03/2010,100,100,100,100,
Relative Humidity,30/03/2010,93.97,80.95,100,100,
Relative Humidity,31/03/2010,82.85,64.26,94.36,100,
Relative Humidity,01/04/2010,72.3,49.25,87.4,100,
Relative Humidity,02/04/2010,91.41,69.68,98.61,100,
Relative Humidity,03/04/2010,92.43,70.71,98.25,100,
Relative Humidity,04/04/2010,72.44,43.01,98.36,100,
Relative Humidity,05/04/2010,82.52,63.39,95.64,100,
Relative Humidity,06/04/2010,67.86,50.07,87.71,100,
Relative Humidity,07/04/2010,78.19,64.97,93.39,100,
Relative Humidity,08/04/2010,60.15,39.37,81.46,100,
Relative Humidity,09/04/2010,55.84,38.66,70.66,100,
Relative Humidity,10/04/2010,60.92,39.63,83.97,100,
Relative Humidity,11/04/2010,64.91,39.99,82.12,100,
Relative Humidity,12/04/2010,70.83,53.71,87.91,100,
Relative Humidity,13/04/2010,67.55,37.53,95.59,100,
Relative Humidity,14/04/2010,70.7,56.83,86.17,100,
Relative Humidity,15/04/2010,71.94,43.93,97.43,100,
Relative Humidity,16/04/2010,67.8,45.57,88.47,100,
Relative Humidity,17/04/2010,66.97,32.72,97.95,100,
Relative Humidity,18/04/2010,56.56,38.09,79.87,100,
Relative Humidity,19/04/2010,70.08,44.9,94.36,100,
Relative Humidity,20/04/2010,59.35,38.45,95.39,100,
Relative Humidity,21/04/2010,54.02,32.15,80.49,100,
Relative Humidity,22/04/2010,67.88,33.74,97.48,100,
Relative Humidity,23/04/2010,49.63,35.84,65.13,100,
Relative Humidity,24/04/2010,49.38,30.26,75.67,100,
Relative Humidity,25/04/2010,79.79,50.69,100,100,
Relative Humidity,26/04/2010,78,51.3,100,100,
Relative Humidity,27/04/2010,69.6,49.77,88.88,100,
Relative Humidity,28/04/2010,69.86,49,85.71,100,
Relative Humidity,29/04/2010,78.84,59.65,97.33,100,
Relative Humidity,30/04/2010,84.06,54.37,99.23,100,
Relative Humidity,01/05/2010,86.05,59.34,100,100,
Relative Humidity,02/05/2010,88.15,61.08,100,100,
Relative Humidity,03/05/2010,64.81,32.72,90.98,100,
Relative Humidity,04/05/2010,64.22,45.52,89.6,100,
Relative Humidity,05/05/2010,67.29,48.79,82.64,100,
Relative Humidity,06/05/2010,70.77,43.98,89.29,100,
Relative Humidity,07/05/2010,66.4,39.12,86.94,100,
Relative Humidity,08/05/2010,90.89,78.03,96.61,100,
Relative Humidity,09/05/2010,79.14,63.9,91.65,100,
Relative Humidity,10/05/2010,67.68,40.29,96.46,100,
Relative Humidity,11/05/2010,64.47,38.66,91.49,100,
Relative Humidity,12/05/2010,68.26,39.27,89.29,100,
Relative Humidity,13/05/2010,69.03,45.67,91.24,100,
Relative Humidity,14/05/2010,74.6,44.7,94.41,100,
Relative Humidity,15/05/2010,62.76,35.58,90.93,100,
Relative Humidity,16/05/2010,83.79,71.37,99.33,100,
Relative Humidity,17/05/2010,67.49,39.83,99.43,100,
Relative Humidity,18/05/2010,62.28,41.83,88.01,100,
Relative Humidity,19/05/2010,76.96,49.36,100,100,
Relative Humidity,20/05/2010,78.17,54.43,100,100,
Relative Humidity,21/05/2010,73.24,49.41,91.44,100,
Relative Humidity,22/05/2010,63.61,29.39,96.05,100,
Relative Humidity,23/05/2010,63.33,36.35,98.46,100,
Relative Humidity,24/05/2010,42.58,22.79,86.48,100,
Relative Humidity,25/05/2010,71.95,54.17,98.76,100,
Relative Humidity,26/05/2010,66.35,47.51,91.39,100,
Relative Humidity,27/05/2010,87.25,59.96,100,100,
Relative Humidity,28/05/2010,73.62,40.19,97.28,100,
Relative Humidity,29/05/2010,96.93,79.97,100,100,
Relative Humidity,30/05/2010,65.03,32.92,98.05,100,
Relative Humidity,31/05/2010,74.27,62,85.3,100,
Relative Humidity,01/06/2010,93.55,84.22,100,100,
Relative Humidity,02/06/2010,74.91,42.7,100,100,
Relative Humidity,03/06/2010,60.19,34.76,97.23,100,
Relative Humidity,04/06/2010,61.73,37.22,89.7,100,
Relative Humidity,05/06/2010,64.6,45.47,86.27,100,
Relative Humidity,06/06/2010,72.44,38.66,94.82,100,
Relative Humidity,07/06/2010,83.32,58.83,100,100,
Relative Humidity,08/06/2010,93.51,70.96,100,100,
Relative Humidity,09/06/2010,85.02,60.21,100,100,
Relative Humidity,10/06/2010,93.97,88.47,97.89,100,
Relative Humidity,11/06/2010,90.3,70.35,100,100,
Relative Humidity,12/06/2010,71.25,45.36,88.88,100,
Relative Humidity,13/06/2010,72.81,48.74,92.67,100,
Relative Humidity,14/06/2010,81.15,45.41,100,100,
Relative Humidity,15/06/2010,65.66,43.37,95.18,100,
Relative Humidity,16/06/2010,63.46,38.71,94.98,100,
Relative Humidity,17/06/2010,65.86,39.68,96.2,100,
Relative Humidity,18/06/2010,82.69,54.58,99.23,100,
Relative Humidity,19/06/2010,69.92,43.62,99.84,100,
Relative Humidity,20/06/2010,61.48,40.7,89.7,100,
Relative Humidity,21/06/2010,59.83,41.52,89.75,100,
Relative Humidity,22/06/2010,49.76,36.71,64.87,100,
Relative Humidity,23/06/2010,56.55,43.72,72.76,100,
Relative Humidity,24/06/2010,63.02,43.01,78.13,100,
Relative Humidity,25/06/2010,61.8,39.83,82.43,100,
Relative Humidity,26/06/2010,66.32,44.13,95.49,100,
Relative Humidity,27/06/2010,57.98,33.79,84.02,100,
Relative Humidity,28/06/2010,55.24,27.34,85.66,100,
Relative Humidity,29/06/2010,78.88,58.93,98.25,100,
Relative Humidity,30/06/2010,77.37,44.85,100,100,
Relative Humidity,01/07/2010,77.81,58.11,100,100,
Relative Humidity,02/07/2010,77.93,58.98,87.91,100,
Relative Humidity,03/07/2010,63.38,38.71,91.24,100,
Relative Humidity,04/07/2010,75.15,52.22,95.64,100,
Relative Humidity,05/07/2010,61.15,36.61,90.37,100,
Relative Humidity,06/07/2010,62.34,44.03,94.82,100,
Relative Humidity,07/07/2010,89.02,77.26,98.61,100,
Relative Humidity,08/07/2010,83.1,57.91,99.48,100,
Relative Humidity,09/07/2010,68.9,30.26,98.15,100,
Relative Humidity,10/07/2010,77.17,52.28,100,100,
Relative Humidity,11/07/2010,74.3,43.98,98.46,100,
Relative Humidity,12/07/2010,71.33,44.7,92.42,100,
Relative Humidity,13/07/2010,94.85,81.72,100,100,
Relative Humidity,14/07/2010,90.97,73.73,100,100,
Relative Humidity,15/07/2010,86.08,60.98,99.33,100,
Relative Humidity,16/07/2010,85.85,69.84,99.79,100,
Relative Humidity,17/07/2010,73.97,40.04,98.46,100,
Relative Humidity,18/07/2010,73.19,44.19,96.26,100,
Relative Humidity,19/07/2010,63.86,37.84,97.28,100,
Relative Humidity,20/07/2010,64.06,37.58,97.95,100,
Relative Humidity,21/07/2010,76.74,49.15,100,100,
Relative Humidity,22/07/2010,84.9,65.18,98.76,100,
Relative Humidity,23/07/2010,78.85,53.56,100,100,
Relative Humidity,24/07/2010,70.87,45.31,92.11,100,
Relative Humidity,25/07/2010,74.93,47.21,96.87,100,
Relative Humidity,26/07/2010,80.2,61.08,96.31,100,
Relative Humidity,27/07/2010,79.87,60.98,93.44,100,
Relative Humidity,28/07/2010,70.55,45.06,98.76,100,
Relative Humidity,29/07/2010,66.53,47.56,87.24,100,
Relative Humidity,30/07/2010,74.27,52.07,93.95,100,
Relative Humidity,31/07/2010,78.7,49.25,100,100,
Relative Humidity,01/08/2010,72.93,50.23,91.75,100,
Relative Humidity,02/08/2010,64.21,40.76,84.02,100,
Relative Humidity,03/08/2010,75.67,56.52,93.7,100,
Relative Humidity,04/08/2010,82.35,61.8,96.92,100,
Relative Humidity,05/08/2010,66.38,42.5,92.21,100,
Relative Humidity,06/08/2010,91.02,75.52,100,100,
Relative Humidity,07/08/2010,91.32,74.29,100,100,
Relative Humidity,08/08/2010,76.48,41.06,96.87,100,
Relative Humidity,09/08/2010,79.72,55.65,99.33,100,
Relative Humidity,10/08/2010,98.67,86.22,100,100,
Relative Humidity,11/08/2010,85.57,69.58,100,100,
Relative Humidity,12/08/2010,73.81,53.04,90.47,100,
Relative Humidity,13/08/2010,87.77,62.82,98.61,100,
Relative Humidity,14/08/2010,92.49,71.83,100,100,
Relative Humidity,15/08/2010,79.32,52.68,100,100,
Relative Humidity,16/08/2010,70.96,40.29,93.34,100,
Relative Humidity,17/08/2010,93.07,79.21,99.48,100,
Relative Humidity,18/08/2010,80.19,50.74,98.05,100,
Relative Humidity,19/08/2010,84.01,59.29,100,100,
Relative Humidity,20/08/2010,96.67,83.66,100,100,
Relative Humidity,21/08/2010,100,100,100,100,
Relative Humidity,22/08/2010,99.88,97.79,100,100,
Relative Humidity,23/08/2010,88.61,60.57,100,100,
Relative Humidity,24/08/2010,74.24,52.99,95.28,100,
Relative Humidity,25/08/2010,94.17,80.9,100,100,
Relative Humidity,26/08/2010,99.26,95.69,100,100,
Relative Humidity,27/08/2010,85.17,58.73,100,100,
Relative Humidity,28/08/2010,72.86,50.48,91.6,100,
Relative Humidity,29/08/2010,73.92,42.29,94.67,100,
Relative Humidity,30/08/2010,70.75,51.46,88.63,100,
Relative Humidity,31/08/2010,76.01,42.96,100,100,
Relative Humidity,01/09/2010,72.52,48.9,98.76,100,
Relative Humidity,02/09/2010,75.95,53.96,98.46,100,
Relative Humidity,03/09/2010,82.5,53.45,100,100,
Relative Humidity,04/09/2010,82.64,58.68,100,100,
Relative Humidity,05/09/2010,80.29,57.6,98.66,100,
Relative Humidity,06/09/2010,80.93,59.65,100,100,
Relative Humidity,07/09/2010,93.99,73.93,100,100,
Relative Humidity,08/09/2010,93.12,63.9,100,100,
Relative Humidity,09/09/2010,85.38,58.57,100,100,
Relative Humidity,10/09/2010,92.37,81.87,98.41,100,
Relative Humidity,11/09/2010,92.64,79.87,100,100,
Relative Humidity,12/09/2010,74.73,45.47,98.92,100,
Relative Humidity,13/09/2010,85.32,71.07,97.43,100,
Relative Humidity,14/09/2010,93.52,88.58,97.95,100,
Relative Humidity,15/09/2010,78.73,58.01,96.05,100,
Relative Humidity,16/09/2010,79.57,59.49,96.61,100,
Relative Humidity,17/09/2010,70.76,47.97,92.47,100,
Relative Humidity,18/09/2010,72.17,47.82,86.68,100,
Relative Humidity,19/09/2010,82.73,67.33,90.83,100,
Relative Humidity,20/09/2010,86.88,67.48,99.89,100,
Relative Humidity,21/09/2010,88.69,60.62,100,100,
Relative Humidity,22/09/2010,87.68,54.22,100,100,
Relative Humidity,23/09/2010,97.62,86.48,100,100,
Relative Humidity,24/09/2010,91.33,72.91,100,100,
Relative Humidity,25/09/2010,72.4,52.79,89.45,100,
Relative Humidity,26/09/2010,81.17,68.97,91.34,100,
Relative Humidity,27/09/2010,94.93,84.89,100,100,
Relative Humidity,28/09/2010,98.82,89.86,100,97,
Relative Humidity,29/09/2010,98.35,89.34,100,100,
Relative Humidity,30/09/2010,93.02,71.58,100,100,
Relative Humidity,01/10/2010,98.75,90.42,100,100,
Relative Humidity,02/10/2010,99.79,97.64,100,100,
Relative Humidity,03/10/2010,97.06,87.19,100,100,
Relative Humidity,04/10/2010,99.07,89.6,100,100,
Relative Humidity,05/10/2010,95.91,74.55,100,100,
